Day,Month,Year,site_name,Zone,station,species,inflorescences,observer
15,march,2024,Washington,2Serp,stump,NA,NA,MF
15,march,2024,Washington,2Serp,ditch,NA,NA,MF
15,march,2024,Washington,2Serp,yerba,NA,NA,MF
15,march,2024,Washington,1Valley,pipe,NA,NA,MF
15,march,2024,Washington,1Valley,lathyrus rock,NA,NA,MF
15,march,2024,Washington,1Valley,logCanyon,NA,NA,MF
15,march,2024,Washington,1Valley,high rock,NA,NA,MF
21,march,2024,Sierra Valley,2Lava,fenceline,Ranunculus glaberrimus,1,TC
21,march,2024,Sierra Valley,2Lava,tree,Ranunculus glaberrimus,1,TC
21,march,2024,Sierra Valley,2Lava,cement,NA,0,TC
21,march,2024,Sierra Valley,1Road,sign,NA,0,TC
21,march,2024,Sierra Valley,1Road,turn out,NA,0,TC
21,march,2024,Sierra Valley,1Road,bittern,NA,0,TC
21,march,2024,Sierra Valley,1Road,alfalfaTurn,NA,0,TC
21,march,2024,Sierra Valley,1Road,alfalfaTurn2,NA,0,TC
21,march,2024,Sierra Valley,1Road,niceLadyHouse,NA,0,TC
21,march,2024,Sierra Valley,1Road,stream,NA,0,TC
21,march,2024,Sierra Valley,1Road,mulesEars,NA,0,TC
21,march,2024,Sierra Valley,1Road,rabbit,NA,0,TC
1,april,2024,Washington,2Serp,ditch,NA,NA,MF
1,april,2024,Washington,2Serp,stump,Ranunculus occidentalis,9,MF
1,april,2024,Washington,2Serp,stump,Lomatium utriculatum,2,MF
1,april,2024,Washington,2Serp,yerba,Viola purpurea,6,MF
1,april,2024,Washington,1Valley,pipe,Erodium cicutarium,199,MF
1,april,2024,Washington,1Valley,pipe,Vicia sativa,19,MF
1,april,2024,Washington,1Valley,lathyrus rock,Draba verna,32,MF
1,april,2024,Washington,1Valley,logCanyon,NA,NA,MF
1,april,2024,Washington,1Valley,high rock,NA,NA,MF
20,april,2024,Washington,1Valley,pipe,Erodium cicutarium,137,MF
20,april,2024,Washington,1Valley,lathyrus rock,Ranunculus occidentalis,39,MF
20,april,2024,Washington,1Valley,lathyrus rock,Claytonia parviflora,81,MF
20,april,2024,Washington,1Valley,lathyrus rock,Nemophila parviflora,39,MF
20,april,2024,Washington,1Valley,logCanyon,NA,NA,MF
20,april,2024,Washington,1Valley,high rock,Ranunculus occidentalis,10,MF
20,april,2024,Washington,2Serp,ditch,Cytisus scoparius,1,MF
20,april,2024,Washington,2Serp,ditch,Ceanothus cuneatus,32,MF
20,april,2024,Washington,2Serp,stump,Ranunculus occidentalis,234,MF
20,april,2024,Washington,2Serp,yerba,Lomatium utriculatum,10,MF
20,april,2024,Washington,2Serp,yerba,Viola purpurea,108,MF
3,may,2024,Washington,1Valley,pipe,Petrorhagia dubia,95,MF
3,may,2024,Washington,1Valley,pipe,Trifolium hirtum,87,MF
3,may,2024,Washington,1Valley,pipe,Plantago lanceolata,21,MF
3,may,2024,Washington,1Valley,lathyrus rock,Claytonia parviflora,48,MF
3,may,2024,Washington,1Valley,lathyrus rock,Ranunculus occidentalis,4,MF
3,may,2024,Washington,1Valley,logCanyon,NA,NA,MF
3,may,2024,Washington,1Valley,high rock,Ranunculus occidentalis,4,MF
3,may,2024,Washington,1Valley,high rock,Trifolium dubium,7,MF
3,may,2024,Washington,2Serp,ditch,Cytisus scoparius,507,MF
3,may,2024,Washington,2Serp,ditch,Diplacus aurantiacus,1,MF
3,may,2024,Washington,2Serp,stump,Ranunculus occidentalis,310,MF
3,may,2024,Washington,2Serp,stump,Lomatium utriculatum,8,MF
3,may,2024,Washington,2Serp,yerba,Viola purpurea,81,MF
3,may,2024,Washington,2Serp,yerba,Epilobium sp.,10,MF
2,april,2024,Sierra Valley,2Lava,fenceline,NA,0,TC
2,april,2024,Sierra Valley,2Lava,tree,NA,0,TC
2,april,2024,Sierra Valley,2Lava,cement,Draba verna,31,TC
2,april,2024,Sierra Valley,1Road,sign,NA,0,TC
2,april,2024,Sierra Valley,1Road,turn out,NA,0,TC
2,april,2024,Sierra Valley,1Road,bittern,NA,0,TC
2,april,2024,Sierra Valley,1Road,alfalfaTurn,NA,0,TC
2,april,2024,Sierra Valley,1Road,alfalfaTurn2,NA,0,TC
2,april,2024,Sierra Valley,1Road,niceLadyHouse,NA,0,TC
2,april,2024,Sierra Valley,1Road,stream,NA,0,TC
2,april,2024,Sierra Valley,1Road,mulesEars,NA,0,TC
2,april,2024,Sierra Valley,1Road,rabbit,NA,0,TC
17,april,2024,Sierra Valley,2Lava,fenceline,NA,0,TC
17,april,2024,Sierra Valley,2Lava,tree,Microsteris gracilis,6,TC
17,april,2024,Sierra Valley,2Lava,tree,Draba verna,64,TC
17,april,2024,Sierra Valley,2Lava,cement,Draba verna,45,TC
17,april,2024,Sierra Valley,1Road,sign,Draba verna,5,TC
17,april,2024,Sierra Valley,1Road,turn out,NA,0,TC
17,april,2024,Sierra Valley,1Road,bittern,Sisymbrium officinale,27,TC
17,april,2024,Sierra Valley,1Road,bittern,Erodium cicutarium,3,TC
17,april,2024,Sierra Valley,1Road,alfalfaTurn,NA,0,TC
17,april,2024,Sierra Valley,1Road,alfalfaTurn2,NA,0,TC
17,april,2024,Sierra Valley,1Road,niceLadyHouse,Collinsia parviflora,480,TC
17,april,2024,Sierra Valley,1Road,niceLadyHouse,Microsteris gracilis,58,TC
17,april,2024,Sierra Valley,1Road,stream,NA,0,TC
17,april,2024,Sierra Valley,1Road,mulesEars,NA,0,TC
17,april,2024,Sierra Valley,1Road,rabbit,NA,0,TC
10,may,2024,Sierra Valley,2Lava,fenceline,Balsamorhiza hookeri,35,TC
10,may,2024,Sierra Valley,2Lava,fenceline,Lomatium nudicaule,12,TC
10,may,2024,Sierra Valley,2Lava,fenceline,Erigeron compositus,12,TC
10,may,2024,Sierra Valley,2Lava,tree,Balsamorhiza hookeri,3,TC
10,may,2024,Sierra Valley,2Lava,cement,Allium validum,36,TC
10,may,2024,Sierra Valley,1Road,bittern,Descuriana sophia,386,TC
10,may,2024,Sierra Valley,1Road,bittern,Sisymbrium officinale,239,TC
10,may,2024,Sierra Valley,1Road,bittern,Lepidium campestre,17,TC
10,may,2024,Sierra Valley,1Road,alfalfaTurn,NA,0,TC
10,may,2024,Sierra Valley,1Road,alfalfaTurn2,NA,0,TC
10,may,2024,Sierra Valley,1Road,niceLadyHouse,NA,0,TC
10,may,2024,Sierra Valley,1Road,stream,Unknown1,4,TC
10,may,2024,Sierra Valley,1Road,mulesEars,Allium validum,17,TC
10,may,2024,Sierra Valley,1Road,rabbit,NA,0,TC
10,may,2024,Lang Crossing,3Chap,Roadside1,Scleranthus annuus,1300,TC
10,may,2024,Lang Crossing,3Chap,Roadside2,NA,0,TC
10,may,2024,Lang Crossing,1Meadow,MeadowStump,Lepidium campestre,241,TC
10,may,2024,Lang Crossing,1Meadow,stump2rock,Lepidium campestre,37,TC
10,may,2024,Lang Crossing,1Meadow,stump2rock,Collinsia parviflora,49,TC
10,may,2024,Lang Crossing,1Meadow,post2trail,Claytonia sp,2875,TC
10,may,2024,Lang Crossing,2Forest,PGEStump,Sanicula tuberosa,94,TC
